24.,Wiesbaden,"250,715","274,464","260,301","270,109","275,976","278,609",Hessen
25.,Mönchengladbach,"151,085","258,424","259,436","263,014","257,993","259,665",Nordrhein-Westfalen
26.,Gelsenkirchen,"347,074","304,386","293,714","278,695","257,981","259,105",Nordrhein-Westfalen
27.,Aachen,"175,451","243,947","241,861","244,386","258,664","248,878",Nordrhein-Westfalen
28.,Braunschweig,"223,275","261,141","258,833","245,816","248,867","248,561",Niedersachsen
29.,Kiel,"271,042","250,062","245,567","232,612","239,526","246,601",Schleswig-Holstein
30.,Chemnitz1,"299,411","317,644","294,244","259,246","243,248","244,401",Sachsen
31.,Halle (Saale),"257,261","232,294","310,234","247,736","232,963","237,865",Sachsen-Anhalt
32.,Magdeburg,"272,237","289,032","278,807","231,450","231,525","235,775",Sachsen-Anhalt
33.,Freiburg im Breisgau,"163,568","175,106","191,029","205,102","224,191","230,940",Baden-Württemberg
34.,Krefeld,"222,666","223,969","244,020","239,916","235,076","226,844",Nordrhein-Westfalen
35.,Mainz,"174,858","187,392","179,486","182,870","199,237","217,123",Rheinland-Pfalz
36.,Lübeck,"239,955","220,588","214,758","213,399","210,232","215,846",Schleswig-Holstein
37.,Erfurt,"195,994","211,575","208,989","200,564","204,994","213,692",Thüringen
38.,Oberhausen,"246,199","228,947","223,840","222,151","212,945","209,566",Nordrhein-Westfalen
39.,Rostock,"198,636","232,506","248,088","200,506","202,735","209,061",Mecklenburg-Vorpommern
40.,Kassel,"214,785","195,912","194,268","194,766","195,530","201,048",Hessen
41.,Hagen,"201,042","218,927","214,449","203,151","188,529","188,687",Nordrhein-Westfalen
42.,Potsdam,"111,336","130,900","139,794","129,324","156,906","182,112",Brandenburg
43.,Saarbrücken,"128,251","193,554","191,694","183,257","175,741","179,349",Saarland
44.,Hamm,"84,629","171,869","179,639","182,427","181,783","178,967",Nordrhein-Westfalen
45.,Ludwigshafen am Rhein,"176,257","159,399","162,233","163,383","164,351","172,557",Rheinland-Pfalz
46.,Mülheim an der Ruhr,"192,183","181,279","177,681","172,862","167,344","170,921",Nordrhein-Westfalen
47.,Oldenburg,"131,545","136,764","143,131","154,832","162,173","169,605",Niedersachsen
48.,Osnabrück,"144,864","157,367","163,168","164,101","164,119","164,223",Niedersachsen
49.,Leverkusen,"107,626","160,825","160,919","161,047","160,772","163,905",Nordrhein-Westfalen
50.,Solingen,"177,124","166,085","165,401","164,973","159,927","159,193",Nordrhein-Westfalen
51.,Darmstadt,"141,847","138,201","138,920","138,242","144,402","159,174",Hessen
52.,Heidelberg,"121,398","133,227","136,796","140,259","147,312","158,741",Baden-Württemberg
53.,Herne,"103,849","182,542","178,132","174,529","164,762","156,940",Nordrhein-Westfalen
54.,Neuss,"116,013","149,334","147,019","150,013","151,388","153,109",Nordrhein-Westfalen
55.,Regensburg,"130,888","132,604","121,691","125,676","135,520","152,270",Bayern
56.,Paderborn,"68,207","110,155","120,680","139,084","146,283","151,864",Nordrhein-Westfalen
57.,Ingolstadt,"70,594","90,490","105,489","115,722","125,088","136,952",Bayern
58.,Offenbach am Main,"118,841","110,993","114,992","117,535","120,435","130,892",Hessen
59.,Fürth,"94,415","99,088","103,362","110,477","114,628","128,223",Bayern
60.,Würzburg,"116,395","128,652","127,777","127,966","133,799","126,954",Bayern
61.,Heilbronn,"102,300","111,938","115,843","119,305","122,879","126,458",Baden-Württemberg
62.,Ulm,"93,158","100,671","110,529","117,233","122,801","126,405",Baden-Württemberg
63.,Pforzheim,"91,104","106,500","112,944","117,156","119,781","126,016",Baden-Württemberg
64.,Wolfsburg,"90,115","125,935","128,510","121,805","121,451","123,840",Niedersachsen
65.,Bottrop,"106,225","114,571","118,936","120,611","116,771","117,388",Nordrhein-Westfalen
66.,Göttingen,"109,892","129,656","121,831","124,132","121,060","116,845",Niedersachsen
67.,Reutlingen,"79,705","95,456","103,687","110,650","112,484","116,031",Baden-Württemberg
68.,Bremerhaven,"142,919","138,728","130,446","120,822","113,366","113,557",Bremen
69.,Koblenz,"120,079","113,676","108,733","107,950","106,417","113,388",Rheinland-Pfalz
70.,Erlangen,"85,061","101,845","102,440","100,778","105,629","112,385",Bayern
71.,Bergisch Gladbach,"50,228","101,472","104,037","105,693","105,723","111,636",Nordrhein-Westfalen
72.,Remscheid,"136,822","129,082","123,155","119,287","110,563","111,516",Nordrhein-Westfalen
73.,Jena,"88,130","103,718","102,518","99,893","105,129","110,731",Thüringen
74.,Recklinghausen,"125,369","119,418","125,060","124,785","118,365","110,705",Nordrhein-Westfalen
75.,Trier,"103,598","95,536","97,835","99,410","105,260","110,674",Rheinland-Pfalz
76.,Salzgitter,"119,031","113,600","114,355","112,302","102,394","103,866",Niedersachsen
77.,Moers,"53,410","99,923","104,595","107,062","105,506","103,487",Nordrhein-Westfalen
78.,Siegen,"57,563","112,320","109,174","108,476","103,424","101,943",Nordrhein-Westfalen
79.,Hildesheim,"93,373","102,619","105,291","103,909","102,794","101,055",Niedersachsen
80.,Gütersloh,"75,912","78,221","86,807","95,158","96,404","100,664",Nordrhein-Westfalen
81.,Kaiserslautern,"100,696","98,745","99,351","99,825","99,184","99,662",Rheinland-Pfalz
82.,Cottbus,"83,444","113,479","125,891","108,491","102,091","98,693",Brandenburg
83.,Hanau,"55,492","86,402","86,913","88,294","88,637","97,137",Hessen
84.,Witten,"97,687","105,876","105,403","103,196","98,233","95,876",Nordrhein-Westfalen
85.,Schwerin,"97,389","121,175","127,447","101,267","95,220","95,609",Mecklenburg-Vorpommern
86.,Ludwigsburg,"78,111","81,589","82,343","87,146","87,735","93,358",Baden-Württemberg
87.,Esslingen am Neckar,"87,371","90,835","91,685","89,667","91,869","92,722",Baden-Württemberg
88.,Gera,"111,535","125,383","129,037","112,835","99,262","92,126",Thüringen
89.,Iserlohn,"57,321","93,823","96,314","98,790","94,966","91,815",Nordrhein-Westfalen
90.,Düren,"53,755","85,913","86,508","91,801","92,820","91,272",Nordrhein-Westfalen
91.,Tübingen,"55,168","73,132","80,372","81,128","88,358","91,077",Baden-Württemberg
92.,Gießen,"75,532","76,374","74,497","73,138","77,366","90,131",Hessen
93.,Flensburg,"95,366","87,862","86,977","84,281","88,759","89,934",Schleswig-Holstein
94.,Zwickau,"126,988","122,129","114,632","103,008","93,750","87,516",Sachsen
95.,Ratingen,"44,479","89,466","91,007","91,437","91,088","86,899",Nordrhein-Westfalen
96.,Lünen,"71,826","85,872","87,845","92,017","87,530","85,838",Nordrhein-Westfalen
97.,Villingen-Schwenningen3,"37,999","78,904","78,218","80,891","81,022","85,686",Baden-Württemberg
98.,Konstanz,"61,614","68,305","75,089","78,087","84,693","84,446",Baden-Württemberg
99.,Marl,"76,999","89,082","91,467","93,256","87,557","84,312",Nordrhein-Westfalen
100.,Worms,"77,064","73,603","76,503","80,361","81,736","83,459",Rheinland-Pfalz
101.,Minden,"48,860","77,713","78,145","83,079","82,114","81,592",Nordrhein-Westfalen
102.,Velbert,"55,610","93,056","89,253","89,782","84,033","81,564",Nordrhein-Westfalen
103.,Neumünster,"86,133","80,145","80,743","79,831","76,830","79,905",Schleswig-Holstein
104.,Dessau-Roßlau2,"98,402","102,529","96,754","83,153","86,906","79,354",Sachsen-Anhalt
105.,Norderstedt,"55,770","65,301","68,450","71,523","71,992","79,155",Schleswig-Holstein
106.,Delmenhorst,"63,870","72,370","75,154","76,644","74,361","77,503",Niedersachsen
107.,Viersen,"85,698","81,114","77,453","77,130","75,360","77,376",Nordrhein-Westfalen
108.,Bamberg,"70,384","71,928","70,521","69,036","70,004","76,674",Bayern
109.,Marburg,"47,230","76,419","74,146","77,390","80,656","76,401",Hessen
110.,Rheine,"50,076","71,432","70,452","75,886","76,530","76,123",Nordrhein-Westfalen
111.,Gladbeck,"83,132","79,747","80,267","77,789","75,253","75,518",Nordrhein-Westfalen
112.,Lüneburg,"59,763","62,225","61,870","67,398","72,983","75,301",Niedersachsen
113.,Wilhelmshaven,"102,978","99,230","90,561","85,287","81,324","75,189",Niedersachsen
114.,Troisdorf,"51,941","58,618","64,430","72,678","75,369","74,994",Nordrhein-Westfalen
115.,Dorsten,"39,551","70,287","78,035","81,063","76,775","74,515",Nordrhein-Westfalen
116.,Detmold,"63,684","67,612","70,074","73,695","72,758","74,097",Nordrhein-Westfalen
117.,Bayreuth,"64,185","70,633","72,345","74,153","72,683","74,048",Bayern
118.,Arnsberg,"22,398","78,056","75,864","77,473","74,227","73,487",Nordrhein-Westfalen
119.,Castrop-Rauxel,"83,901","78,877","79,037","78,608","75,408","73,126",Nordrhein-Westfalen
120.,Landshut,"52,425","55,796","59,066","58,746","63,258","73,065",Bayern
121.,Brandenburg an der Havel,"93,983","94,953","89,889","77,516","71,778","72,040",Brandenburg
122.,Lüdenscheid,"79,086","74,578","79,401","80,613","75,463","71,911",Nordrhein-Westfalen
123.,Bocholt,"49,244","65,352","68,936","72,138","73,170","71,061",Nordrhein-Westfalen
124.,Aschaffenburg,"55,119","59,257","64,098","67,592","68,678","70,858",Bayern
125.,Celle,"57,130","72,820","72,260","72,127","70,242","69,399",Niedersachsen
126.,Kempten (Allgäu),"44,884","57,376","61,906","61,389","62,060","68,940",Bayern
127.,Aalen,"37,066","63,030","64,781","66,066","66,113","68,361",Baden-Württemberg
128.,Fulda,"45,187","57,035","56,289","62,510","64,349","67,980",Hessen
129.,Lippstadt,"41,743","61,927","62,345","66,933","66,976","67,793",Nordrhein-Westfalen
130.,Dinslaken,"55,241","59,473","65,313","70,714","69,472","67,338",Nordrhein-Westfalen
131.,Herford,"65,422","62,881","63,893","65,083","64,088","66,495",Nordrhein-Westfalen
132.,Rüsselsheim am Main,"60,911","60,974","59,430","59,357","60,294","65,972",Hessen
133.,Kerpen,"10,608","54,725","57,337","63,135","64,602","65,802",Nordrhein-Westfalen
134.,Weimar,"63,634","63,709","60,326","62,425","65,479","65,098",Thüringen
135.,Neuwied,"62,666","60,485","62,075","67,057","64,318","64,860",Rheinland-Pfalz
136.,Sindelfingen,"41,967","54,808","58,805","60,766","60,445","64,595",Baden-Württemberg
137.,Dormagen,"30,869","56,645","58,260","62,957","62,961","64,500",Nordrhein-Westfalen
138.,Plauen,"82,026","78,828","71,774","71,543","66,098","64,014",Sachsen
139.,Grevenbroich,"27,698","60,317","60,835","64,688","63,891","63,941",Nordrhein-Westfalen
140.,Rosenheim,"37,078","51,604","56,340","58,908","61,299","63,591",Bayern
141.,Neubrandenburg,"46,087","79,006","89,284","73,318","65,282","63,372",Mecklenburg-Vorpommern
142.,Herten,"52,966","69,247","69,245","66,930","62,235","61,860",Nordrhein-Westfalen
143.,Bergheim,"10,493","54,064","58,146","63,526","62,129","61,749",Nordrhein-Westfalen
144.,Friedrichshafen,"43,651","52,080","54,129","57,213","59,002","61,221",Baden-Württemberg
145.,Schwäbisch Gmünd,"44,385","56,901","60,081","62,188","59,654","61,216",Baden-Württemberg
146.,Garbsen,"26,444","57,522","60,776","63,269","61,790","61,021",Niedersachsen
147.,Offenburg,"33,066","50,486","52,964","56,891","59,215","60,388",Baden-Württemberg
148.,Wesel,"45,338","56,776","59,631","62,063","60,750","60,329",Nordrhein-Westfalen
149.,Hürth,"52,235","50,794","50,808","53,261","57,922","59,525",Nordrhein-Westfalen
150.,Greifswald,"47,017","61,278","66,251","54,236","54,610","59,282",Mecklenburg-Vorpommern
151.,Stralsund,"71,489","74,947","72,780","60,663","57,670","59,205",Mecklenburg-Vorpommern
152.,Langenfeld (Rheinland),"44,217","47,027","53,455","58,429","59,160","59,112",Nordrhein-Westfalen
153.,Neu-Ulm,"27,925","47,415","46,264","50,188","53,504","58,841",Bayern
154.,Unna,"50,299","56,416","61,552","71,375","66,502","58,816",Nordrhein-Westfalen
155.,Euskirchen,"42,278","44,811","49,654","53,680","55,620","58,466",Nordrhein-Westfalen
156.,Göppingen,"48,028","53,347","54,957","57,371","56,819","57,974",Baden-Württemberg
157.,Hameln,"47,201","58,390","58,539","58,807","57,771","57,276",Niedersachsen
158.,Frankfurt (Oder),"62,433","80,414","86,131","72,131","60,330","57,015",Brandenburg
159.,Meerbusch,"46,904","49,876","52,104","55,175","54,318","56,479",Nordrhein-Westfalen
160.,Stolberg (Rheinland),"39,704","57,550","57,231","58,682","57,474","56,377",Nordrhein-Westfalen
161.,Eschweiler,"38,666","53,478","54,675","55,090","55,505","56,172",Nordrhein-Westfalen
162.,Görlitz,"87,492","81,399","72,237","61,599","55,596","55,784",Sachsen
163.,Sankt Augustin,"31,892","48,580","51,886","55,248","55,442","55,590",Nordrhein-Westfalen
164.,Waiblingen,"24,195","45,114","48,387","51,362","52,900","55,526",Baden-Württemberg
165.,Baden-Baden,"37,185","49,142","51,849","52,627","54,445","55,449",Baden-Württemberg
166.,Hilden,"50,228","53,343","54,782","56,412","55,441","55,274",Nordrhein-Westfalen
167.,Lingen (Ems),"31,522","44,097","49,137","51,684","51,177","55,232",Niedersachsen
168.,Langenhagen,"35,474","46,764","47,432","49,432","52,583","54,684",Niedersachsen
169.,Pulheim,"11,323","44,870","49,353","53,158","53,769","54,636",Nordrhein-Westfalen
170.,Hattingen,"59,392","57,373","58,241","58,329","55,510","54,278",Nordrhein-Westfalen
171.,Bad Salzuflen,"49,571","51,248","53,771","55,028","53,893","54,166",Nordrhein-Westfalen
172.,Bad Homburg vor der Höhe,"42,066","51,221","51,820","52,838","52,229","54,092",Hessen
173.,Nordhorn,"44,470","48,492","49,359","51,968","53,052","53,839",Niedersachsen
174.,Schweinfurt,"58,178","52,445","54,483","54,325","53,415","53,319",Bayern
175.,Neustadt an der Weinstraße,"50,952","50,328","51,988","53,658","52,855","53,306",Rheinland-Pfalz
176.,Wetzlar,"36,922","51,997","51,737","52,608","51,499","53,188",Hessen
177.,Ahlen,"49,970","54,192","54,169","55,631","53,414","52,635",Nordrhein-Westfalen
